index,player1_name,player1_age,player1_ranking,player1_points,player1_win_rate,player1_win_rate_3_sets,player1_win_rate_tiebreak,player1_total_matches_dure,player1_win_rate_dure,player1_total_matches_terre battue,player1_win_rate_terre battue,player1_total_matches_gazon,player1_win_rate_gazon,player1_total_matches_salle,player1_win_rate_salle,player1_total_matches_carpet,player1_win_rate_carpet,player1_total_matches_acryl,player1_win_rate_acryl,player1_avg_first_serve_pct,player1_avg_first_serve_won_pct,player1_avg_second_serve_won_pct,player1_avg_return_points_won_pct,player1_avg_break_point_won_pct,player1_avg_double_fautes,player1_avg_aces,player2_name,player2_age,player2_ranking,player2_points,player2_win_rate,player2_win_rate_3_sets,player2_win_rate_tiebreak,player2_total_matches_dure,player2_win_rate_dure,player2_total_matches_terre battue,player2_win_rate_terre battue,player2_total_matches_gazon,player2_win_rate_gazon,player2_total_matches_salle,player2_win_rate_salle,player2_total_matches_carpet,player2_win_rate_carpet,player2_total_matches_acryl,player2_win_rate_acryl,player2_avg_first_serve_pct,player2_avg_first_serve_won_pct,player2_avg_second_serve_won_pct,player2_avg_return_points_won_pct,player2_avg_break_point_won_pct,player2_avg_double_fautes,player2_avg_aces,tournament_category,target,date,surface_dure,surface_salle,surface_terre_batue,surface_gazon,ranking_diff,points_diff,win_rate_diff,win_rate_diff_3_sets,win_rate_tiebreak_diff,aces_diff,double_faults_diff,win_rate_dure_diff,win_rate_terre_diff,win_rate_gazon_diff,win_rate_salle_diff
0,Lucas Pouille,30,101,616,0.6756756756756757,0.6,0.7692307692307693,12,0.75,13,0.6153846153846154,6,0.8333333333333334,6,0.5,0,0,0,0,0.569358927924665,0.7404580152671756,0.5323801513877208,0.3883495145631068,0.40562248995983935,3.1666666666666665,6.833333333333333,Gijs Brouwer,28,176,326,0.5652173913043478,0.6666666666666666,0.375,18,0.5555555555555556,11,0.5454545454545454,12,0.5833333333333334,5,0.6,0,0,0,0,0.6842632809889743,0.69921875,0.5121693121693122,0.38510706295941194,0.3829787234042553,1.5,3.8260869565217392,2,0,22.09.24,1,0,0,0,75,290,0.11045828437132788,0.06666666666666665,0.0,3.007246376811594,1.6666666666666665,0.19444444444444442,0.06993006993007,0.25,0.09999999999999998
1,Taylor Harry Fritz,27,4,5100,0.75,0.7272727272727273,0.75,0,0.0,8,0.625,12,0.8333333333333334,0,0.0,0,0,0,0,0.634856855851331,0.7998417721518988,0.5598349381017882,0.34843907351460224,0.4,1.5909090909090908,12.863636363636363,Jack Draper,23,15,2685,0.56,0.4666666666666667,0.5555555555555556,4,0.25,11,0.45454545454545453,10,0.8,0,0.0,0,0,0,0,0.6048951048951049,0.7927332782824112,0.49304677623261695,0.36082949308755763,0.3958333333333333,3.24,9.08,3,1,30.07.24,0,0,1,0,11,2415,0.18999999999999995,0.2606060606060606,0.0,3.7836363636363632,1.6490909090909094,0.25,0.17045454545454547,0.033333333333333326,0.0
2,Tommy Paul,27,12,3145,0.7111111111111111,0.5769230769230769,0.9166666666666666,18,0.6111111111111112,14,0.7142857142857143,12,0.8333333333333334,1,1.0,0,0,0,0,0.6165021929824561,0.7136505113383727,0.5553176302640971,0.41232478180375565,0.3978494623655914,1.7333333333333334,5.177777777777778,Miomir Kecmanovic,25,54,1021,0.45,0.4444444444444444,0.46153846153846156,17,0.29411764705882354,12,0.5,8,0.5,3,1.0,0,0,0,0,0.6225231175693527,0.7103448275862069,0.5293088363954506,0.3594855305466238,0.39166666666666666,2.1025641025641026,4.230769230769231,1,1,18.10.24,0,1,0,0,42,2124,0.2611111111111111,0.13247863247863245,0.0,0.9470085470085472,0.36923076923076925,0.3169934640522876,0.2142857142857143,0.33333333333333337,0.0
3,Holger Rune,21,13,3025,0.625,0.625,0.6666666666666666,18,0.6111111111111112,17,0.6470588235294118,5,0.6,0,0.0,0,0,0,0,0.5966029723991507,0.7244534824605999,0.5421052631578948,0.34938650306748464,0.39655172413793105,3.075,5.775,Nicolas Jarry,29,35,1370,0.45454545454545453,0.5,0.6,19,0.42105263157894735,18,0.5,1,0.0,6,0.5,0,0,0,0,0.6320064987814785,0.7467866323907455,0.5077262693156733,0.3296879167778074,0.33480176211453744,2.272727272727273,9.022727272727273,2,1,22.10.24,0,1,0,0,22,1655,0.17045454545454547,0.125,0.0,3.247727272727273,0.8022727272727272,0.19005847953216382,0.1470588235294118,0.6,0.5
5,Damir Dzumhur,32,83,679,0.6785714285714286,0.6428571428571429,0.5,5,0.6,18,0.7777777777777778,5,0.4,0,0.0,0,0,0,0,0.6859006522829905,0.6393562545720556,0.5239616613418531,0.43263473053892215,0.44534412955465585,2.2857142857142856,0.5357142857142857,Jesper De Jong,24,112,548,0.71875,0.5714285714285714,0.8571428571428571,6,0.8333333333333334,24,0.7083333333333334,2,0.5,0,0.0,0,0,0,0,0.5640081799591002,0.7302393038433648,0.5131332082551595,0.416466826538769,0.4423791821561338,3.3125,5.53125,2,1,07.09.24,1,0,0,0,29,131,0.0401785714285714,0.07142857142857151,0.0,4.995535714285714,1.0267857142857144,0.2333333333333334,0.06944444444444442,0.09999999999999998,0.0
6,Kamil Majchrzak,28,120,506,0.8,0.9,0.8,8,0.625,17,0.8823529411764706,0,0.0,0,0.0,0,0,0,0,0.6160092807424594,0.7128060263653484,0.5468277945619335,0.4280618311533888,0.48484848484848486,1.5416666666666667,4.04,Maks Kasnikowski,21,180,318,0.6538461538461539,0.5555555555555556,0.7142857142857143,0,0.0,26,0.6538461538461539,0,0.0,0,0.0,0,0,0,0,0.5838744588744589,0.7080630213160334,0.4850455136540962,0.4276729559748428,0.44554455445544555,2.4615384615384617,3.423076923076923,2,0,21.06.24,0,0,1,0,60,188,0.1461538461538462,0.34444444444444444,0.0,0.6169230769230771,0.9198717948717949,0.625,0.2285067873303167,0.0,0.0
8,Alexander Bublik,27,33,1420,0.6,0.7777777777777778,0.6666666666666666,15,0.6,10,0.5,4,0.5,6,0.8333333333333334,0,0,0,0,0.5937277263007841,0.741296518607443,0.44298245614035087,0.36924248191853826,0.4305555555555556,6.571428571428571,10.657142857142857,Aleksandar Vukic,28,68,778,0.4666666666666667,0.25,0.5,0,0.0,6,0.3333333333333333,9,0.5555555555555556,0,0.0,0,0,0,0,0.5968045112781954,0.7417322834645669,0.5198135198135199,0.3326713008937438,0.47368421052631576,0.7333333333333333,7.866666666666666,1,0,26.06.24,0,0,0,1,35,642,0.1333333333333333,0.5277777777777778,0.0,2.7904761904761903,5.838095238095238,0.6,0.16666666666666669,0.05555555555555558,0.8333333333333334
9,Marcos Giron,31,46,1150,0.4482758620689655,0.35714285714285715,0.5,8,0.5,10,0.3,10,0.6,1,0.0,0,0,0,0,0.607313887679582,0.7118279569892473,0.5177383592017738,0.3471434801569996,0.3468208092485549,1.3448275862068966,4.517241379310345,Alex Bolt,32,157,377,0.7241379310344828,0.8571428571428571,0.75,9,0.4444444444444444,0,0.0,20,0.85,0,0.0,0,0,0,0,0.655893536121673,0.7376811594202899,0.5303867403314917,0.36538461538461536,0.3374233128834356,2.392857142857143,6.964285714285714,1,1,19.07.24,0,0,0,1,111,773,0.27586206896551724,0.49999999999999994,0.0,2.447044334975369,1.0480295566502462,0.05555555555555558,0.3,0.25,0.0
10,Taylor Harry Fritz,27,4,5100,0.5,0.6666666666666666,0.0,0,0.0,4,0.5,0,0.0,0,0.0,0,0,0,0,0.6071428571428571,0.7231833910034602,0.5187165775401069,0.3933649289099526,0.39215686274509803,1.6,9.2,Dusan Lajovic,34,81,710,0.4838709677419355,0.5,0.375,8,0.375,17,0.5882352941176471,0,0.0,6,0.3333333333333333,0,0,0,0,0.7036437246963563,0.6812428078250863,0.505464480874317,0.36378205128205127,0.3918918918918919,1.1612903225806452,2.5806451612903225,3,1,30.05.24,0,0,1,0,77,4390,0.016129032258064502,0.16666666666666663,0.0,6.619354838709677,0.43870967741935485,0.375,0.08823529411764708,0.0,0.3333333333333333
11,Matteo Arnaldi,23,37,1345,0.5384615384615384,0.47619047619047616,0.7692307692307693,17,0.5882352941176471,19,0.5263157894736842,3,0.3333333333333333,0,0.0,0,0,0,0,0.5625956535047444,0.7013057671381937,0.49191848208011246,0.3853612761964342,0.40202702702702703,3.3333333333333335,6.948717948717949,Zachary Svajda,22,166,352,0.5,0.46153846153846156,0.5,19,0.5263157894736842,6,0.3333333333333333,11,0.5454545454545454,0,0.0,0,0,0,0,0.651743264659271,0.6930091185410334,0.5187713310580204,0.3632305194805195,0.40609137055837563,1.8285714285714285,4.171428571428572,4,1,27.08.24,1,0,0,0,129,993,0.038461538461538436,0.0146520146520146,0.0,2.777289377289377,1.504761904761905,0.0619195046439629,0.19298245614035087,0.2121212121212121,0.0
